Year,Iron & Steel (USD),Pharmaceuticals (USD),Silk (USD),Flow
1988,141133619.0,243927494.0,119672713.0,Export
1989,199683101.0,416315114.0,119380120.0,Export
1990,200796152.0,423021978.0,114486163.0,Export
1991,262569774.0,448757106.0,128391381.0,Export
1992,449568312.0,385515424.0,138491291.0,Export
1993,688006865.0,426360697.0,113843071.0,Export
1994,618549177.0,503106457.0,128994087.0,Export
1995,838365690.0,605853808.0,125649167.0,Export
1996,865688397.0,671986227.0,122968920.0,Export
1997,989743559.0,780697581.0,175332893.0,Export
1998,661970764.0,729515718.0,169346733.0,Export
1999,897738757.0,861088963.0,216092931.0,Export
2000,1175110089.0,885123732.0,258903737.0,Export
2001,919366370.0,1047143315.0,260051830.0,Export
2002,1480495080.0,1259037875.0,270419858.0,Export
2003,2402866111.0,1565561677.0,290780575.0,Export
2004,3499059059.0,1909032539.0,381360579.0,Export
2005,4333672129.0,2345726852.0,403584473.0,Export
2006,5188770337.0,2992351658.0,383330066.0,Export
2007,5983152022.0,3833763902.0,348416380.0,Export
2008,8198676338.0,5005349332.0,358762495.0,Export
2009,4386432926.0,5011359682.0,271134607.0,Export
2010,6996227955.0,6096125297.0,335202928.0,Export
2011,7925589291.0,8259852687.0,259746526.0,Export
2012,7699795261.0,9602441279.0,163529711.0,Export
2013,10206482415.0,11731940722.0,164301385.0,Export
2014,9080605834.0,11663325521.0,140578636.0,Export
2015,6308179224.0,12544722055.0,111222168.0,Export
2016,6436668804.0,13042715970.0,90684381.0,Export
2017,11708857176.102,12865130674.306,76561627.694,Export
2018,9949158479.353,14300419263.231998,82783915.347,Export
2019,9773812388.321,16264000297.013,84296538.263,Export
2020,10632043828.552,18426747733.93,81642233.358,Export
2021,21199484527.256,19460516245.117,117093635.015,Export
2022,15198276918.303,19749877612.762,94767181.42,Export
1988,1405495993.0,72371551.0,49242886.0,Import
1989,1501599420.0,157441478.0,67572171.0,Import
1990,1427708061.0,155280359.0,67650394.0,Import
1991,855432823.0,111856208.0,71808314.0,Import
1992,1199384087.0,89297908.0,100204151.0,Import
1993,777858920.0,63839323.0,97280924.0,Import
1994,1392080697.0,69435478.0,125877690.0,Import
1995,1626682899.0,104450842.0,110271716.0,Import
1996,1501542531.0,64289665.0,83668657.0,Import
1997,1417340211.0,122799605.0,76182705.0,Import
1998,1056771417.0,135620282.0,78434388.0,Import
1999,1113840976.0,139348505.0,111333901.0,Import
2000,998316548.0,149806795.0,125141607.0,Import
2001,1058116796.0,163802555.0,143328565.0,Import
2002,1130065217.0,217530140.0,204183565.0,Import
2003,1556413450.0,231985953.0,242030188.0,Import
2004,2714594440.0,289534204.0,280773057.0,Import
2005,5310354480.0,378679071.0,413639676.0,Import
2006,5567004761.0,553888794.0,351484472.0,Import
2007,8374232060.0,700769226.0,395093126.0,Import
2008,10772430463.0,901797627.0,370874679.0,Import
2009,8462674989.0,1077859083.0,393437787.0,Import
2010,10701339698.0,1223984574.0,372967400.0,Import
2011,12945474867.0,1477392855.0,349072806.0,Import
2012,13739630078.0,1756554847.0,325773845.0,Import
2013,10118914367.0,1667835814.0,235750755.0,Import
2014,11293134957.0,1631153580.0,218683420.0,Import
2015,11708053809.0,1618037595.0,200426406.0,Import
2016,8713651456.0,1697797871.0,208796938.0,Import
2017,9958826899.896,1774012280.834,250819943.615,Import
2018,12000631456.137,2064096677.746,208012549.95499998,Import
2019,11800163136.314,2525996360.034,210785639.996,Import
2020,7550873600.389,2477412233.655,110870357.914,Import
2021,11679975651.629,3297325337.414,135881679.606,Import
2022,16740818597.852,2726850115.676,274049646.436,Import
